a	あ
i	い
u	う
e	え
o	お
;	っ
q	ん
@		ん
ん@	＠
,	、
.	。
/	・
[	「
]	」
-	ー
ka	か
ki	き
ku	く
ke	け
ko	こ
kz	かん
kn	かん
kk	きん
kj	くん
kd	けん
kl	こん
kq	かい
kh	くう
kw	けい
kp	こう
kya	きゃ
kyu	きゅ
kye	きぇ
kyo	きょ
kyz	きゃん
kyn	きゃん
kyj	きゅん
kyd	きぇん
kyl	きょん
kyq	きゃい
kyh	きゅう
kyw	きぇい
kyp	きょう
kga	きゃ
kgu	きゅ
kge	きぇ
kgo	きょ
kgz	きゃん
kgn	きゃん
kgj	きゅん
kgd	きぇん
kgl	きょん
kgq	きゃい
kgh	きゅう
kgw	きぇい
kgp	きょう
sa	さ
si	し
su	す
se	せ
so	そ
sn	さん
sk	しん
sj	すん
sd	せん
sl	そん
sq	さい
sh	すう
sw	せい
sp	そう
sya	しゃ
syu	しゅ
sye	しぇ
syo	しょ
syz	しゃん
syn	しゃん
syj	しゅん
syd	しぇん
syl	しょん
syq	しゃい
syh	しゅう
syw	しぇい
syp	しょう
xf	しゃ
xv	しゃい
xa	しゃ
xu	しゅ
xe	しぇ
xo	しょ
xz	しゃん
xn	しゃん
xj	しゅん
xd	しぇん
xl	しょん
xq	しゃい
xh	しゅう
xw	しぇい
xp	しょう
ta	た
ti	ち
tu	つ
te	て
to	と
tz	たん
tn	たん
tk	ちん
tj	つん
td	てん
tl	とん
tq	たい
th	つう
tw	てい
tp	とう
tyi	てぃ
tyu	とぅ
tyk	てぃん
tyj	とぅん
tya	つぁ
tye	つぇ
ca	ちゃ
cu	ちゅ
ce	ちぇ
co	ちょ
cz	ちゃん
cn	ちゃん
cj	ちゅん
cd	ちぇん
cl	ちょん
cq	ちゃい
ch	ちゅう
cw	ちぇい
cp	ちょう
na	な
ni	に
nu	ぬ
ne	ね
no	の
nz	なん
nn	ん
nk	にん
nj	ぬん
nd	ねん
nl	のん
nq	ない
nh	ぬう
nw	ねい
np	のう
nya	にゃ
nyu	にゅ
nye	にぇ
nyo	にょ
nyz	にゃん
nyn	にゃん
nyj	にゅん
nyd	にぇん
nyl	にょん
nyq	にゃい
nyh	にゅう
nyw	にぇい
nyp	にょう
nga	にゃ
ngu	にゅ
nge	にぇ
ngo	にょ
ngz	にゃん
ngn	にゃん
ngj	にゅん
ngd	にぇん
ngl	にょん
ngq	にゃい
ngh	にゅう
ngw	にぇい
ngp	にょう
ha	は
hi	ひ
hu	ふ
he	へ
ho	ほ
hz	はん
hn	はん
hk	ひん
hj	ふん
hd	へん
hl	ほん
hq	はい
hh	ふう
hw	へい
hp	ほう
hya	ひゃ
hyu	ひゅ
hye	ひぇ
hyo	ひょ
hyz	ひゃん
hyn	ひゃん
hyj	ひゅん
hyd	ひぇん
hyl	ひょん
hyq	ひゃい
hyh	ひゅう
hyw	ひぇい
hyp	ひょう
hga	ひゃ
hgu	ひゅ
hge	ひぇ
hgo	ひょ
hgz	ひゃん
hgn	ひゃん
hgj	ひゅん
hgd	ひぇん
hgl	ひょん
hgq	ひゃい
hgh	ひゅう
hgw	ひぇい
hgp	ひょう
ma	ま
mi	み
mu	む
me	め
mo	も
mz	まん
mn	もの
mk	みん
mj	むん
md	めん
ml	もん
mq	まい
mh	むう
mw	めい
mp	もう
mya	みゃ
myu	みゅ
mye	みぇ
myo	みょ
myz	みゃん
myn	みゃん
myj	みゅん
myd	みぇん
myl	みょん
myq	みゃい
myh	みゅう
myw	みぇい
myp	みょう
mga	みゃ
mgu	みゅ
mge	みぇ
mgo	みょ
mgz	みゃん
mgn	みゃん
mgj	みゅん
mgd	みぇん
mgl	みょん
mgq	みゃい
mgh	みゅう
mgw	みぇい
mgp	みょう
cta	ちぇた
cti	ちぇち
ctu	ちぇつ
cte	ちぇて
cto	ちぇと
ctz	ちぇたん
ctn	ちぇたん
ctk	ちぇちん
ctj	ちぇつん
ctd	ちぇてん
ctl	ちぇとん
ctq	ちぇたい
cth	ちぇつう
ctw	ちぇてい
ctp	ちぇとう
cra	ちぇら
cri	ちぇり
cru	ちぇる
cre	ちぇれ
cro	ちぇろ
crz	ちぇらん
crn	ちぇらん
crk	ちぇりん
crj	ちぇるん
crd	ちぇれん
crl	ちぇろん
crq	ちぇらい
crh	ちぇるう
crw	ちぇれい
crp	ちぇろう
cba	ちぇば
cbi	ちぇび
cbu	ちぇぶ
cbe	ちぇべ
cbo	ちぇぼ
cbz	ちぇばん
cbn	ちぇばん
cbk	ちぇびん
cbj	ちぇぶん
cbd	ちぇべん
cbl	ちぇぼん
cbq	ちぇばい
cbh	ちぇぶう
cbw	ちぇべい
cbp	ちぇぼう
xta	しゃた
xti	しゃち
xtu	しゃつ
xte	しゃて
xto	しゃと
xtz	しゃたん
xtn	しゃたん
xtk	しゃちん
xtj	しゃつん
xtd	しゃてん
xtl	しゃとん
xtq	しゃたい
xth	しゃつう
xtw	しゃてい
xtp	しゃとう
xca	しゃちゃ
xci	しゃち
xcu	しゃちゅ
xce	しゃちぇ
xco	しゃちょ
xcz	しゃちゃん
xcn	しゃちゃん
xck	しゃちん
xcj	しゃちゅん
xcd	しゃちぇん
xcl	しゃちょん
xcq	しゃちゃい
xch	しゃちゅう
xcw	しゃちぇい
xcp	しゃちょう
xra	しゃら
xri	しゃり
xru	しゃる
xre	しゃれ
xro	しゃろ
xrz	しゃらん
xrn	しゃらん
xrk	しゃりん
xrj	しゃるん
xrd	しゃれん
xrl	しゃろん
xrq	しゃらい
xrh	しゃるう
xrw	しゃれい
xrp	しゃろう
xrya	しゃりゃ
xryu	しゃりゅ
xrye	しゃりぇ
xryo	しゃりょ
xryz	しゃりゃん
xryn	しゃりゃん
xryj	しゃりゅん
xryd	しゃりぇん
xryl	しゃりょん
xryq	しゃりゃい
xryh	しゃりゅう
xryw	しゃりぇい
xryp	しゃりょう
xba	しゃば
xbi	しゃび
xbu	しゃぶ
xbe	しゃべ
xbo	しゃぼ
xbz	しゃばん
xbn	しゃばん
xbk	しゃびん
xbj	しゃぶん
xbd	しゃべん
xbl	しゃぼん
xbq	しゃばい
xbh	しゃぶう
xbw	しゃべい
xbp	しゃぼう
xbya	しゃびゃ
xbyu	しゃびゅ
xbye	しゃびぇ
xbyo	しゃびょ
xbyz	しゃびゃん
xbyn	しゃびゃん
xbyj	しゃびゅん
xbyd	しゃびぇん
xbyl	しゃびょん
xbyq	しゃびゃい
xbyh	しゃびゅう
xbyw	しゃびぇい
xbyp	しゃびょう
xga	しゃが
xgi	しゃぎ
xgu	しゃぐ
xge	しゃげ
xgo	しゃご
xgz	しゃがん
xgn	しゃがん
xgk	しゃぎん
xgj	しゃぐん
xgd	しゃげん
xgl	しゃごん
xgq	しゃがい
xgh	しゃぐう
xgw	しゃげい
xgp	しゃごう
jta	じゅた
jti	じゅち
jtu	じゅつ
jte	じゅて
jto	じゅと
jtz	じゅたん
jtk	じゅちん
jtn	じゅたん
jtj	じゅつん
jtd	じゅてん
jtl	じゅとん
jtq	じゅたい
jth	じゅつう
jtp	じゅとう
jra	じゅら
jri	じゅり
jru	じゅる
jre	じゅれ
jro	じゅろ
jrz	じゅらん
jrk	じゅりん
jrn	じゅらん
jrj	じゅるん
jrd	じゅれん
jrl	じゅろん
jrq	じゅらい
jrh	じゅるう
jrp	じゅろう
jba	じゅば
jbi	じゅび
jbu	じゅぶ
jbe	じゅべ
jbo	じゅぼ
jbz	じゅばん
jbn	じゅばん
jbk	じゅびん
jbj	じゅぶん
jbd	じゅべん
jbl	じゅぼん
jbq	じゅばい
jbh	じゅぶう
jbp	じゅぼう
jca	じゅちゃ
jcu	じゅちゅ
jce	じゅちぇ
jco	じゅちょ
jch	じゅちゅう
jcp	じゅちょう
jxa	じゅしゃ
jxu	じゅしゅ
jxf	じゅしゃ
jxo	じゅしょ
jxh	じゅしゅう
jxp	じゅしょう
sza	さざ
szf	さざ
szi	さじ
szu	さず
sze	さぜ
szo	さぞ
szz	さざん
szn	さざん
szk	さじん
szj	さずん
szd	さぜん
szl	さぞん
szq	さざい
szh	さずう
szw	さぜい
szp	さぞう
hta	ふた
hti	ふち
htu	ふつ
hte	ふて
hto	ふと
htz	ふたん
htn	ふたん
htk	ふちん
htj	ふつん
htd	ふてん
htl	ふとん
htq	ふたい
hth	ふつう
htw	ふてい
htp	ふとう
htyi	ふてぃ
htyu	ふとぅ
htyk	ふてぃん
htyj	ふとぅん
htya	ふつぁ
htye	ふつぇ
htgi	ふてぃ
htgu	ふとぅ
htgk	ふてぃん
htgj	ふとぅん
htga	ふつぁ
htge	ふつぇ
hra	ふら
hri	ふり
hru	ふる
hre	ふれ
hro	ふろ
hrz	ふらん
hrn	ふらん
hrk	ふりん
hrj	ふるん
hrd	ふれん
hrl	ふろん
hrq	ふらい
hrh	ふるう
hrw	ふれい
hrp	ふろう
hrya	ふりゃ
hryu	ふりゅ
hryo	ふりょ
hryh	ふりゅう
hryp	ふりょう
hba	ふば
hbi	ふび
hbu	ふぶ
hbe	ふべ
hbo	ふぼ
hbz	ふばん
hbn	ふばん
hbk	ふびん
hbj	ふぶん
hbd	ふべん
hbl	ふぼん
hbq	ふばい
hbh	ふぶう
hbw	ふべい
hbp	ふぼう
hbya	ふびゃ
hbyu	ふびゅ
hbyo	ふびょ
hbyh	ふびゅう
hbyp	ふびょう
kta	きた
kti	きち
ktu	きつ
kte	きて
kto	きと
ktz	きたん
ktn	きたん
ktk	きちん
ktj	きつん
ktd	きてん
ktl	きとん
ktq	きたい
kth	きつう
ktw	きてい
ktp	きとう
ktyi	きてぃ
ktyu	きとぅ
ktyk	きてぃん
ktyj	きとぅん
ktya	きつぁ
ktye	きつぇ
ktgi	きてぃ
ktgu	きとぅ
ktgk	きてぃん
ktgj	きとぅん
ktga	きつぁ
ktge	きつぇ
kra	きら
kri	きり
kru	きる
kre	きれ
kro	きろ
krz	きらん
krn	きらん
krk	きりん
krj	きるん
krd	きれん
krl	きろん
krq	きらい
krh	きるう
krw	きれい
krp	きろう
krya	きりゃ
kryu	きりゅ
kryo	きりょ
kryh	きりゅう
kryp	きりょう
kba	きば
kbi	きび
kbu	きぶ
kbe	きべ
kbo	きぼ
kbz	きばん
kbn	きばん
kbk	きびん
kbj	きぶん
kbd	きべん
kbl	きぼん
kbq	きばい
kbh	きぶう
kbw	きべい
kbp	きぼう
kbya	きびゃ
kbyu	きびゅ
kbyo	きびょ
kbyh	きびゅう
kbyp	きびょう
kca	きちゃ
kcu	きちゅ
kcf	きちぇ
kco	きちょ
kch	きちゅう
kcp	きちょう
kxa	きしゃ
kxu	きしゅ
kxf	きしゃ
kxo	きしょ
kxh	きしゅう
kxp	きしょう
kxra	きしゃら
kxri	きしゃり
kxru	きしゃる
kxre	きしゃれ
kxro	きしゃろ
kxrz	きしゃらん
kxrn	きしゃらん
kxrk	きしゃりん
kxrj	きしゃるん
kxrd	きしゃれん
kxrl	きしゃろん
kxrq	きしゃらい
kxrh	きしゃるう
kxrw	きしゃれい
kxrp	きしゃろう
kxrya	きしゃりゃ
kxryu	きしゃりゅ
kxryo	きしゃりょ
kxryh	きしゃりゅう
kxryp	きしゃりょう
kxta	きしゃた
kxti	きしゃち
kxtu	きしゃつ
kxte	きしゃて
kxto	きしゃと
kxtz	きしゃたん
kxtn	きしゃたん
kxtk	きしゃちん
kxtj	きしゃつん
kxtd	きしゃてん
kxtl	きしゃとん
kxtq	きしゃたい
kxth	きしゃつう
kxtw	きしゃてい
kxtp	きしゃとう
kxtyi	きしゃてぃ
kxtyu	きしゃとぅ
kxtyk	きしゃてぃん
kxtyj	きしゃとぅん
kxtya	きしゃつぁ
kxtye	きしゃつぇ
kxtgi	きしゃてぃ
kxtgu	きしゃとぅ
kxtgk	きしゃてぃん
kxtgj	きしゃとぅん
kxtga	きしゃつぁ
kxtge	きしゃつぇ
kma	くま
kmi	くみ
kmu	くむ
kmf	くむ
kme	くめ
kmo	くも
kmz	くまん
kmn	くまん
kmk	くみん
kmj	くむん
kmd	くめん
kml	くもん
kmq	くまい
kmh	くむう
kmw	くめい
kmp	くもう
kmga	くみゃ
kmgu	くみゅ
kmgo	くみょ
kmgh	くみゅう
kmgp	くみょう
kmta	くむた
kmti	くむち
kmtu	くむつ
kmte	くむて
kmto	くむと
kmtz	くむたん
kmtn	くむたん
kmtk	くむちん
kmtj	くむつん
kmtd	くむてん
kmtl	くむとん
kmtq	くむたい
kmth	くむつう
kmtw	くむてい
kmtp	くむとう
mta	むた
mti	むち
mtu	むつ
mte	むて
mto	むと
mtz	むたん
mtn	むたん
mtk	むちん
mtj	むつん
mtd	むてん
mtl	むとん
mtq	むたい
mth	むつう
mtw	むてい
mtp	むとう
mtyi	むてぃ
mtyu	むとぅ
mtyk	むてぃん
mtyj	むとぅん
mtya	むつぁ
mtye	むつぇ
mtgi	むてぃ
mtgu	むとぅ
mtgk	むてぃん
mtgj	むとぅん
mtga	むつぁ
mtge	むつぇ
mra	むら
mri	むり
mru	むる
mre	むれ
mro	むろ
mrz	むらん
mrn	むらん
mrk	むりん
mrj	むるん
mrd	むれん
mrl	むろん
mrq	むらい
mrh	むるう
mrw	むれい
mrp	むろう
mrya	むりゃ
mryu	むりゅ
mryo	むりょ
mryh	むりゅう
mryp	むりょう
mba	むば
mbi	むび
mbu	むぶ
mbe	むべ
mbo	むぼ
mbz	むばん
mbn	むばん
mbk	むびん
mbj	むぶん
mbd	むべん
mbl	むぼん
mbq	むばい
mbh	むぶう
mbw	むべい
mbp	むぼう
mbya	むびゃ
mbyu	むびゅ
mbyo	むびょ
mbyh	むびゅう
mbyp	むびょう
mca	むちゃ
mcu	むちゅ
mcf	むちぇ
mco	むちょ
mch	むちゅう
mcp	むちょう
mxa	むしゃ
mxu	むしゅ
mxf	むしゃ
mxo	むしょ
mxh	むしゅう
mxp	むしょう
mxra	むしゃら
mxri	むしゃり
mxru	むしゃる
mxre	むしゃれ
mxro	むしゃろ
mxrz	むしゃらん
mxrn	むしゃらん
mxrk	むしゃりん
mxrj	むしゃるん
mxrd	むしゃれん
mxrl	むしゃろん
mxrq	むしゃらい
mxrh	むしゃるう
mxrw	むしゃれい
mxrp	むしゃろう
mxrya	むしゃりゃ
mxryu	むしゃりゅ
mxryo	むしゃりょ
mxryh	むしゃりゅう
mxryp	むしゃりょう
mxta	むしゃた
mxti	むしゃち
mxtu	むしゃつ
mxte	むしゃて
mxto	むしゃと
mxtz	むしゃたん
mxtn	むしゃたん
mxtk	むしゃちん
mxtj	むしゃつん
mxtd	むしゃてん
mxtl	むしゃとん
mxtq	むしゃたい
mxth	むしゃつう
mxtw	むしゃてい
mxtp	むしゃとう
mxtyi	むしゃてぃ
mxtyu	むしゃとぅ
mxtyk	むしゃてぃん
mxtyj	むしゃとぅん
mxtya	むしゃつぁ
mxtye	むしゃつぇ
mxtgu	むしゃてぃ
mxtgk	むしゃとぅ
mxtgj	むしゃてぃん
mxtga	むしゃとぅん
mxtge	むしゃつぁ
dta	でた
dti	でち
dtu	でつ
dte	でて
dto	でと
dtz	でたん
dtn	でたん
dtk	でちん
dtj	でつん
dtd	でてん
dtl	でとん
dtq	でたい
dth	でつう
dtw	でてい
dtp	でとう
dtyi	でてぃ
dtyu	でとぅ
dtyk	でてぃん
dtyj	でとぅん
dtya	でつぁ
dtye	でつぇ
dtgi	でてぃ
dtgu	でとぅ
dtgk	でてぃん
dtgj	でとぅん
dtga	でつぁ
dtge	でつぇ
dra	でら
dri	でり
dru	でる
dre	でれ
dro	でろ
drz	でらん
drn	でらん
drk	でりん
drj	でるん
drd	でれん
drl	でろん
drq	でらい
drh	でるう
drw	でれい
drp	でろう
drya	でりゃ
dryu	でりゅ
dryo	でりょ
dryh	でりゅう
dryp	でりょう
dba	でば
dbi	でび
dbu	でぶ
dbe	でべ
dbo	でぼ
dbz	でばん
dbn	でばん
dbk	でびん
dbj	でぶん
dbd	でべん
dbl	でぼん
dbq	でばい
dbh	でぶう
dbw	でべい
dbp	でぼう
dbya	でびゃ
dbyu	でびゅ
dbyo	でびょ
dbyh	でびゅう
dbyp	でびょう
zta	ざた
zti	ざち
ztu	ざつ
zte	ざて
zto	ざと
ztz	ざたん
ztn	ざたん
ztk	ざちん
ztj	ざつん
ztd	ざてん
ztl	ざとん
ztq	ざたい
zth	ざつう
ztw	ざてい
ztp	ざとう
ztyi	ざてぃ
ztyu	ざとぅ
ztyk	ざてぃん
ztyj	ざとぅん
ztya	ざつぁ
ztye	ざつぇ
ztgi	ざてぃ
ztgu	ざとぅ
ztgk	ざてぃん
ztgj	ざとぅん
ztga	ざつぁ
ztge	ざつぇ
zra	ざら
zri	ざり
zru	ざる
zre	ざれ
zro	ざろ
zrs	ざられ
zrz	ざらん
zrn	ざらん
zrk	ざりん
zrj	ざるん
zrd	ざれん
zrl	ざろん
zrq	ざらい
zrh	ざるう
zrw	ざれい
zrp	ざろう
zrya	ざりゃ
zryu	ざりゅ
zryo	ざりょ
zryh	ざりゅう
zryp	ざりょう
zba	ざば
zbi	ざび
zbu	ざぶ
zbe	ざべ
zbo	ざぼ
zbz	ざばん
zbn	ざばん
zbk	ざびん
zbj	ざぶん
zbd	ざべん
zbl	ざぼん
zbq	ざばい
